r030,txt,rate,cc,exchangedate
978,Євро,34.846,EUR,08.01.2021
985,Злотий,7.6607,PLN,08.01.2021
12,Алжирський динар,0.21416,DZD,08.01.2021
50,Така,0.33343,BDT,08.01.2021
51,Вірменський драм,0.054105,AMD,08.01.2021
364,Іранський ріал,0.0006732,IRR,08.01.2021
368,Іракський динар,0.019366,IQD,08.01.2021
417,Сом,0.3421,KGS,08.01.2021
422,Ліванський фунт,0.018756,LBP,08.01.2021
434,Лівійський динар,21.1383,LYD,08.01.2021
458,Малайзійський ринггіт,7.0047,MYR,08.01.2021
504,Марокканський дирхам,3.1763,MAD,08.01.2021
704,Донг,0.0012244,VND,08.01.2021
764,Бат,0.9445,THB,08.01.2021
784,Дирхам ОАЕ,7.698,AED,08.01.2021
788,Туніський динар,10.5192,TND,08.01.2021
860,Узбецький сум,0.0026988,UZS,08.01.2021
901,Новий тайванський долар,1.006,TWD,08.01.2021
934,Туркменський новий манат,8.0785,TMT,08.01.2021
936,Ганське седі,4.8198,GHS,08.01.2021
941,Сербський динар,0.29536,RSD,08.01.2021
972,Сомоні,2.5022,TJS,08.01.2021
981,Ларі,8.6366,GEL,08.01.2021
986,Бразильський реал,5.4505,BRL,08.01.2021
959,Золото,55324.39,XAU,08.01.2021
961,Срібло,777.81,XAG,08.01.2021
962,Платина,30724.16,XPT,08.01.2021
964,Паладій,68959.16,XPD,08.01.2021
36,Австралійський долар,21.8659,AUD,09.01.2021
124,Канадський долар,22.261,CAD,09.01.2021
156,Юань Женьміньбі,4.3944,CNY,09.01.2021
191,Куна,4.6098,HRK,09.01.2021
203,Чеська крона,1.3286,CZK,09.01.2021
208,Данська крона,4.6847,DKK,09.01.2021
344,Гонконгівський долар,3.6635,HKD,09.01.2021
348,Форинт,0.096763,HUF,09.01.2021
356,Індійська рупія,0.38811,INR,09.01.2021
360,Рупія,0.0020407,IDR,09.01.2021
376,Новий ізраїльський шекель,8.8703,ILS,09.01.2021
392,Єна,0.27601,JPY,09.01.2021
398,Теньге,0.067419,KZT,09.01.2021
410,Вона,0.026129,KRW,09.01.2021
